data,br_obitos,nz_obitos
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,1,0
2020-03-18,3,0
2020-03-19,2,0
2020-03-20,5,0
2020-03-21,7,0
2020-03-22,7,0
2020-03-23,9,0
2020-03-24,12,0
2020-03-25,11,0
2020-03-26,20,0
2020-03-27,15,0
2020-03-28,22,0
2020-03-29,22,1
2020-03-30,23,0
2020-03-31,42,0
2020-04-01,40,0
2020-04-02,58,0
2020-04-03,60,0
2020-04-04,73,0
2020-04-05,54,0
2020-04-06,67,0
2020-04-07,114,0
2020-04-08,133,0
2020-04-09,141,0
2020-04-10,115,1
2020-04-11,68,2
2020-04-12,99,0
2020-04-13,105,1
2020-04-14,204,4
2020-04-15,204,0
2020-04-16,188,0
2020-04-17,217,2
2020-04-18,206,0
2020-04-19,115,0
2020-04-20,113,1
2020-04-21,166,1
2020-04-22,165,1
2020-04-23,407,2
2020-04-24,357,1
2020-04-25,346,1
2020-04-26,189,0
2020-04-27,338,1
2020-04-28,474,0
2020-04-29,449,0
2020-04-30,435,0
2020-05-01,428,0
2020-05-02,395,1
2020-05-03,301,0
2020-05-04,296,0
2020-05-05,600,0
2020-05-06,614,1
2020-05-07,611,0
2020-05-08,749,0
2020-05-09,732,0
2020-05-10,496,0
2020-05-11,396,0
2020-05-12,881,0
2020-05-13,749,0
2020-05-14,844,0
2020-05-15,824,0
2020-05-16,816,0
2020-05-17,485,0
2020-05-18,674,0
2020-05-19,1179,0
2020-05-20,888,0
2020-05-21,1188,0
2020-05-22,999,0
2020-05-23,967,0
2020-05-24,653,0
2020-05-25,807,0
2020-05-26,1039,0
2020-05-27,1086,0
2020-05-28,1156,1
2020-05-29,1124,0
2020-05-30,956,0
2020-05-31,480,0
2020-06-01,623,0
2020-06-02,1262,0
2020-06-03,1349,0
2020-06-04,1473,0
2020-06-05,1005,0
2020-06-06,904,0
2020-06-07,525,0
2020-06-08,679,0
2020-06-09,1272,0
2020-06-10,1274,0
2020-06-11,1239,0
2020-06-12,909,0
2020-06-13,892,0
2020-06-14,612,0
2020-06-15,627,0
2020-06-16,1282,0
2020-06-17,1269,0
2020-06-18,1238,0
2020-06-19,1206,0
2020-06-20,1022,0
2020-06-21,641,0
2020-06-22,654,0
2020-06-23,1374,0
2020-06-24,1185,0
2020-06-25,1141,0
2020-06-26,990,0
2020-06-27,1109,0
2020-06-28,552,0
2020-06-29,692,0
2020-06-30,1280,0
2020-07-01,1038,0
2020-07-02,1252,0
2020-07-03,1290,0
2020-07-04,1091,0
2020-07-05,602,0
2020-07-06,620,0
2020-07-07,1254,0
2020-07-08,1223,0
2020-07-09,1220,0
2020-07-10,1214,0
2020-07-11,1071,0
2020-07-12,631,0
2020-07-13,733,0
2020-07-14,1300,0
2020-07-15,1233,0
2020-07-16,1322,0
2020-07-17,1163,0
2020-07-18,921,0
2020-07-19,716,0
2020-07-20,632,0
2020-07-21,1367,0
2020-07-22,1284,0
2020-07-23,1311,0
2020-07-24,1156,0
2020-07-25,1211,0
2020-07-26,555,0
2020-07-27,614,0
2020-07-28,921,0
2020-07-29,1595,0
2020-07-30,1129,0
2020-07-31,1212,0
2020-08-01,1088,0
2020-08-02,541,0
2020-08-03,561,0
2020-08-04,1154,0
2020-08-05,1421,0
2020-08-06,1253,0
2020-08-07,1079,0
2020-08-08,905,0
2020-08-09,572,0
2020-08-10,703,0
2020-08-11,1274,0
2020-08-12,1175,0
2020-08-13,1262,0
2020-08-14,1060,0
2020-08-15,709,0
2020-08-16,620,0
2020-08-17,684,0
2020-08-18,1352,0
2020-08-19,1212,0
2020-08-20,1204,0
2020-08-21,1054,0
2020-08-22,892,0
2020-08-23,494,0
2020-08-24,565,0
2020-08-25,1271,0
2020-08-26,1085,0
2020-08-27,984,0
2020-08-28,855,0
2020-08-29,958,0
2020-08-30,366,0
2020-08-31,553,0
2020-09-01,1215,0
2020-09-02,1184,0
2020-09-03,834,0
2020-09-04,907,0
2020-09-05,682,2
2020-09-06,447,0
2020-09-07,310,0
2020-09-08,504,0
2020-09-09,1075,0
2020-09-10,983,0
2020-09-11,874,0
2020-09-12,814,0
2020-09-13,415,0
2020-09-14,381,0
2020-09-15,1113,0
2020-09-16,987,1
2020-09-17,829,0
2020-09-18,858,0
2020-09-19,739,0
2020-09-20,363,0
2020-09-21,377,0
2020-09-22,836,0
2020-09-23,869,0
2020-09-24,831,0
2020-09-25,729,0
2020-09-26,869,0
2020-09-27,335,0
2020-09-28,317,0
2020-09-29,863,0
2020-09-30,1031,0
2020-10-01,728,0
2020-10-02,708,0
2020-10-03,599,0
2020-10-04,365,0
2020-10-05,323,0
2020-10-06,819,0
2020-10-07,734,0
2020-10-08,729,0
2020-10-09,682,0
2020-10-10,559,0
2020-10-11,290,0
2020-10-12,201,0
2020-10-13,309,0
2020-10-14,749,0
2020-10-15,713,0
2020-10-16,754,0
2020-10-17,461,0
2020-10-18,230,0
2020-10-19,271,0
2020-10-20,661,0
2020-10-21,566,0
2020-10-22,497,0
2020-10-23,571,0
2020-10-24,432,0
2020-10-25,231,0
2020-10-26,263,0
2020-10-27,549,0
2020-10-28,510,0
2020-10-29,513,0
2020-10-30,508,0
2020-10-31,407,0
2020-11-01,190,0
2020-11-02,179,0
2020-11-03,243,0
2020-11-04,610,0
2020-11-05,630,0
2020-11-06,302,0
2020-11-07,231,0
2020-11-08,128,0
2020-11-09,231,0
2020-11-10,201,0
2020-11-11,544,0
2020-11-12,908,0
2020-11-13,456,0
2020-11-14,921,0
2020-11-15,140,0
2020-11-16,216,0
2020-11-17,685,0
2020-11-18,756,0
2020-11-19,606,0
2020-11-20,552,0
2020-11-21,376,0
2020-11-22,194,0
2020-11-23,302,0
2020-11-24,630,0
2020-11-25,654,0
2020-11-26,691,0
2020-11-27,514,0
2020-11-28,587,0
2020-11-29,272,0
2020-11-30,287,0
2020-12-01,697,0
2020-12-02,698,0
2020-12-03,755,0
2020-12-04,694,0
2020-12-05,664,0
2020-12-06,313,0
2020-12-07,376,0
2020-12-08,842,0
2020-12-09,836,0
2020-12-10,770,0
2020-12-11,672,0
2020-12-12,686,0
2020-12-13,279,0
2020-12-14,433,0
2020-12-15,964,0
2020-12-16,936,0
2020-12-17,1092,0
2020-12-18,823,0
2020-12-19,706,0
2020-12-20,408,0
2020-12-21,527,0
2020-12-22,968,0
2020-12-23,961,0
2020-12-24,786,0
2020-12-25,482,0
2020-12-26,307,0
2020-12-27,344,0
2020-12-28,431,0
2020-12-29,1111,0
2020-12-30,1194,0
2020-12-31,1074,0
2021-01-01,462,0
2021-01-02,314,0
2021-01-03,293,0
2021-01-04,543,0
2021-01-05,1171,0
2021-01-06,1242,0
2021-01-07,1524,0
2021-01-08,962,0
2021-01-09,1171,0
2021-01-10,469,0
2021-01-11,480,0
2021-01-12,1110,0
2021-01-13,1274,0
2021-01-14,1131,0
2021-01-15,1151,0
2021-01-16,1050,0
2021-01-17,551,0
2021-01-18,452,0
2021-01-19,1192,0
2021-01-20,1340,0
2021-01-21,1316,0
2021-01-22,1096,0
2021-01-23,1202,0
2021-01-24,592,0
2021-01-25,627,0
2021-01-26,1214,0
2021-01-27,1283,0
2021-01-28,1386,0
2021-01-29,1119,0
2021-01-30,1279,0
2021-01-31,559,0
2021-02-01,595,0
2021-02-02,1210,0
2021-02-03,1254,0
2021-02-04,1232,0
2021-02-05,1239,0
2021-02-06,978,0
2021-02-07,522,0
2021-02-08,636,0
2021-02-09,1350,0
2021-02-10,1330,0
2021-02-11,1351,0
2021-02-12,1288,0
2021-02-13,1043,0
2021-02-14,713,0
2021-02-15,528,0
2021-02-16,1167,1
2021-02-17,1150,0
2021-02-18,1367,0
2021-02-19,1308,0
2021-02-20,1212,0
2021-02-21,527,0
2021-02-22,639,0
2021-02-23,1386,0
2021-02-24,1428,0
2021-02-25,1541,0
2021-02-26,1337,0
