data,br_obitos,vacinas_acumulado
2021-02-27,1386,8433568
2021-02-28,721,8465403
2021-03-01,778,8841027
2021-03-02,1641,9277322
2021-03-03,1910,9739676
2021-03-04,1699,10169160
2021-03-05,1800,10576542
2021-03-06,1555,10830688
2021-03-07,1086,10948409
2021-03-08,987,11357494
2021-03-09,1972,11756131
2021-03-10,2286,12181103
2021-03-11,2233,12613179
2021-03-12,2216,13017720
2021-03-13,1997,13223729
2021-03-14,1127,13286664
2021-03-15,1057,13763573
2021-03-16,2841,14198794
2021-03-17,2648,14648691
2021-03-18,2724,15087602
2021-03-19,2815,15623349
2021-03-20,2438,15883688
2021-03-21,1290,15980363
2021-03-22,1383,16567102
2021-03-23,3251,17157631
2021-03-24,2009,17886781
2021-03-25,2777,18655345
2021-03-26,3650,19577786
2021-03-27,3438,19962072
2021-03-28,1656,20216938
2021-03-29,1660,21160763
2021-03-30,3780,21950245
2021-03-31,3869,22839287
2021-04-01,3769,23880805
2021-04-02,2922,24181208
2021-04-03,1987,24575470
2021-04-04,1240,24910668
2021-04-05,1319,25658532
2021-04-06,4195,26736003
2021-04-07,3829,27644079
2021-04-08,4249,28653848
2021-04-09,3693,29544578
2021-04-10,2616,30084664
2021-04-11,1803,30356896
2021-04-12,1480,31316420
2021-04-13,3808,32217205
2021-04-14,3459,33148388
2021-04-15,3560,34050325
2021-04-16,3305,34993448
2021-04-17,2929,35603882
2021-04-18,1657,35817144
2021-04-19,1347,36910479
2021-04-20,3321,37909705
2021-04-21,3472,38467754
2021-04-22,2027,39291064
2021-04-23,2914,41073104
2021-04-24,3076,41494939
2021-04-25,1305,41626753
2021-04-26,1139,42787199
2021-04-27,3086,44287510
2021-04-28,3163,45379804
2021-04-29,3001,46426188
2021-04-30,2595,47399150
2021-05-01,2656,47663526
2021-05-02,1202,47755613
2021-05-03,983,48643324
2021-05-04,2966,49626137
2021-05-05,2811,50576224
2021-05-06,2550,51624587
2021-05-07,2165,52647815
2021-05-08,2202,52972460
2021-05-09,1024,53064124
2021-05-10,889,54008862
2021-05-11,2311,54912939
2021-05-12,2494,55907165
2021-05-13,2383,56583962
2021-05-14,2211,57313642
2021-05-15,2087,57668646
2021-05-16,1036,57935280
2021-05-17,786,58714631
2021-05-18,2513,59603625
2021-05-19,2641,60363334
2021-05-20,2403,61297420
2021-05-21,2215,62122684
2021-05-22,1899,62459684
2021-05-23,860,63278821
2021-05-24,790,64098809
2021-05-25,2173,64918585
2021-05-26,2398,65668438
2021-05-27,2245,66363506
2021-05-28,2371,67359292
2021-05-29,2012,67761958
2021-05-30,874,67874735
2021-05-31,860,68665647
2021-06-01,2408,69477898
2021-06-02,2507,70685368
2021-06-03,1682,71245492
2021-06-04,1454,71961789
2021-06-05,1689,72586950
2021-06-06,873,72811509
2021-06-07,1010,73614079
2021-06-08,2378,74920113
2021-06-09,2723,76117123
2021-06-10,2504,77243101
2021-06-11,2216,78471914
2021-06-12,2037,79118243
2021-06-13,1129,79466212
2021-06-14,827,80577338
2021-06-15,2468,81940689
2021-06-16,2997,83181485
2021-06-17,2311,85441106
2021-06-18,2495,87160471
2021-06-19,2301,88108418
2021-06-20,1025,88570223
2021-06-21,761,90013336
2021-06-22,2131,91420290
2021-06-23,2392,92782243
2021-06-24,2032,94322179
2021-06-25,2001,95764065
2021-06-26,1593,96545254
2021-06-27,739,96789753
2021-06-28,618,97929680
2021-06-29,1893,99828676
2021-06-30,2081,101167462
2021-07-01,2029,102561737
2021-07-02,1857,104047565
2021-07-03,1635,104753510
2021-07-04,830,105097389
2021-07-05,695,106696625
2021-07-06,1780,108247755
2021-07-07,1648,109976127
2021-07-08,1639,111573265
2021-07-09,1509,112999344
2021-07-10,1205,113929447
2021-07-11,595,114350128
2021-07-12,745,115654260
2021-07-13,1605,117154411
2021-07-14,1556,118689127
2021-07-15,1548,120155331
2021-07-16,1456,121651233
2021-07-17,868,122615695
2021-07-18,948,122859535
2021-07-19,542,124433796
2021-07-20,1424,126315897
2021-07-21,1424,128199383
2021-07-22,1412,130131385
2021-07-23,1324,131858906
2021-07-24,1108,132812191
2021-07-25,476,133139145
2021-07-26,578,134540217
2021-07-27,1333,136158369
2021-07-28,1344,137944954
2021-07-29,1318,139483586
2021-07-30,963,141319627
2021-07-31,910,142301917
2021-08-01,464,142598659
2021-08-02,389,143762758
2021-08-03,1209,145618595
2021-08-04,1175,148054492
2021-08-05,1099,149763010
2021-08-06,1056,151506191
2021-08-07,990,152313188
2021-08-08,399,152680029
2021-08-09,411,154190964
2021-08-10,1211,156399040
2021-08-11,975,158422879
2021-08-12,1148,160674246
2021-08-13,966,162832096
2021-08-14,926,164215233
2021-08-15,270,164680217
2021-08-16,434,166750328
2021-08-17,1106,169753003
2021-08-18,1064,171741149
2021-08-19,979,174263122
2021-08-20,870,176376890
2021-08-21,698,177587502
2021-08-22,318,178173214
2021-08-23,321,180251675
2021-08-24,894,182654763
2021-08-25,903,184707573
2021-08-26,920,186102952
2021-08-27,761,188045400
2021-08-28,684,189376018
2021-08-29,298,189971293
2021-08-30,266,191515901
2021-08-31,839,194176380
2021-09-01,737,196166473
2021-09-02,764,198142390
2021-09-03,756,200077775
2021-09-04,692,201126108
2021-09-05,266,201522079
2021-09-06,182,203024669
2021-09-07,361,203577189
2021-09-08,250,205296045
2021-09-09,753,207509808
2021-09-10,672,209917761
2021-09-11,712,211223433
2021-09-12,293,211710814
2021-09-13,215,213203733
2021-09-14,731,215338063
2021-09-15,800,217240047
2021-09-16,643,218735998
2021-09-17,333,221071595
2021-09-18,935,222156927
2021-09-19,244,222581680
2021-09-20,203,223781527
2021-09-21,485,225592884
2021-09-22,876,227304555
2021-09-23,648,229100357
2021-09-24,699,230893002
2021-09-25,537,231983152
2021-09-26,243,232495892
2021-09-27,210,233772505
2021-09-28,793,235617220
2021-09-29,676,237320144
2021-09-30,627,239190412
2021-10-01,506,241200485
2021-10-02,468,242252204
2021-10-03,225,242632087
2021-10-04,204,243733571
2021-10-05,677,245292452
2021-10-06,530,247057054
2021-10-07,451,248820533
2021-10-08,615,250516351
2021-10-09,404,251524115
2021-10-10,182,252149684
2021-10-11,202,253164892
2021-10-12,185,253561158
2021-10-13,176,254426529
2021-10-14,525,256762148
2021-10-15,570,258849471
2021-10-16,483,260157865
2021-10-17,130,260683274
2021-10-18,183,261824131
2021-10-19,390,263569544
2021-10-20,373,265607325
2021-10-21,451,266620080
2021-10-22,460,267964026
2021-10-23,318,268638494
2021-10-24,187,269442502
2021-10-25,160,271861944
2021-10-26,442,273720279
2021-10-27,433,275436454
2021-10-28,389,277057532
2021-10-29,394,278686713
2021-10-30,232,279265141
2021-10-31,130,279666131
2021-11-01,98,279959241
2021-11-02,149,280181200
2021-11-03,164,281228625
2021-11-04,436,282661800
2021-11-05,389,284683953
2021-11-06,328,285378181
2021-11-07,59,285943124
2021-11-08,126,287531811
2021-11-09,183,288956195
2021-11-10,280,290429521
2021-11-11,188,292021210
2021-11-12,267,293253508
2021-11-13,731,293936446
2021-11-14,61,294339583
2021-11-15,63,294928227
2021-11-16,132,295624622
2021-11-17,373,297253230
2021-11-18,293,298447729
2021-11-19,226,299734733
2021-11-20,217,300573489
2021-11-21,72,301182753
2021-11-22,123,302331069
2021-11-23,284,303515430
2021-11-24,273,304659197
2021-11-25,303,305503188
2021-11-26,315,306741882
2021-11-27,229,307205318
2021-11-28,92,307583387
2021-11-29,98,307817825
2021-11-30,305,309486607
2021-12-01,283,310770495
2021-12-02,215,311950389
2021-12-03,221,313665030
2021-12-04,170,314450780
2021-12-05,66,314612221
2021-12-06,108,315518302
2021-12-07,274,316677030
2021-12-08,233,317474217
2021-12-09,206,318799260
2021-12-10,234,319739095
2021-12-11,53,319980117
2021-12-12,86,320112450
2021-12-13,48,320737938
2021-12-14,92,321601407
2021-12-15,301,322902290
2021-12-16,124,323831095
2021-12-17,206,324589549
2021-12-18,153,324798686
2021-12-19,49,324846680
2021-12-20,70,325593485
2021-12-21,75,326335565
2021-12-22,143,327562756
2021-12-23,137,328473878
2021-12-24,164,328473878
2021-12-25,32,328473878
2021-12-26,24,328473878
2021-12-27,86,329011365
2021-12-28,171,329861730
2021-12-29,112,330718457
2021-12-30,167,331164041
2021-12-31,72,331273910
2022-01-01,49,331292259
2022-01-02,28,331335826
2022-01-03,76,332076818
2022-01-04,175,332903332
2022-01-05,129,333627875
2022-01-06,128,333627875
2022-01-07,181,333627875
2022-01-08,115,333627875
2022-01-09,44,335742922
2022-01-10,110,336825920
2022-01-11,147,337655171
2022-01-12,133,338386118
2022-01-13,174,339257036
2022-01-14,251,339988963
2022-01-15,175,340281915
2022-01-16,74,343352666
2022-01-17,121,347329271
2022-01-18,351,348164653
2022-01-19,338,349495232
2022-01-20,350,350629268
2022-01-21,358,351485976
2022-01-22,238,352744905
2022-01-23,296,352952210
2022-01-24,259,354878131
2022-01-25,487,355987219
2022-01-26,570,357132990
2022-01-27,672,358789930
2022-01-28,799,360492730
2022-01-29,640,361165196
2022-01-30,330,361309679
2022-01-31,284,362503209
2022-02-01,929,363827251
2022-02-02,893,365113872
2022-02-03,1041,366488450
2022-02-04,493,367778211
2022-02-05,1308,368572365
2022-02-06,391,369521071
2022-02-07,428,370659862
2022-02-08,1189,371840433
2022-02-09,1264,373331749
2022-02-10,943,375028165
2022-02-11,1135,376813738
2022-02-12,896,377626315
2022-02-13,314,378011196
2022-02-14,473,378917750
2022-02-15,854,379776348
2022-02-16,1085,380878261
2022-02-17,1128,382196732
2022-02-18,1127,384112607
2022-02-19,851,385030790
2022-02-20,406,385406305
2022-02-21,318,386298288
2022-02-22,816,387226162
2022-02-23,999,388306875
2022-02-24,971,389748374
2022-02-25,770,391253145
2022-02-26,753,391785022
2022-02-27,221,391970436
2022-02-28,199,392763634
2022-03-01,297,392925626
2022-03-02,370,392925626
2022-03-03,578,394111796
2022-03-04,677,394812859
2022-03-05,672,395464826
2022-03-06,216,395658972
2022-03-07,198,396537303
2022-03-08,488,397386286
2022-03-09,669,398449118
2022-03-10,588,400536072
2022-03-11,470,401272006
2022-03-12,389,402357624
2022-03-13,133,402573315
2022-03-14,171,403286505
2022-03-15,336,403856898
2022-03-16,355,404885141
2022-03-17,485,405634648
2022-03-18,373,406685448
2022-03-19,304,407274462
2022-03-20,103,407435784
2022-03-21,97,408348030
2022-03-22,394,408961974
2022-03-23,302,409606978
2022-03-24,312,410175836
2022-03-25,256,410860641
2022-03-26,196,411116197
2022-03-27,117,411548202
2022-03-28,77,412177025
2022-03-29,285,413559595
2022-03-30,263,414606124
2022-03-31,253,415350921
2022-04-01,245,415350921
2022-04-02,106,415350921
2022-04-03,39,416625503
2022-04-04,165,417150367
2022-04-05,216,418081276
2022-04-06,195,418988804
2022-04-07,250,419669076
2022-04-08,149,420411074
2022-04-09,98,420841281
2022-04-10,38,421028480
2022-04-11,69,421634418
2022-04-12,166,422368139
2022-04-13,163,422804515
2022-04-14,140,423594585
2022-04-15,111,423594585
2022-04-16,31,423594585
2022-04-17,22,424058492
2022-04-18,66,424403120
2022-04-19,125,425301193
2022-04-20,263,426002158
2022-04-21,92,426445178
2022-04-22,51,426445178
2022-04-23,53,426683997
2022-04-24,36,426686042
2022-04-25,76,426987455
2022-04-26,144,427262945
2022-04-27,245,428179278
2022-04-28,114,428748714
2022-04-29,185,429202399
2022-04-30,87,429202399
2022-05-01,16,429613287
2022-05-02,89,430000411
2022-05-03,92,430435333
2022-05-04,65,430951275
2022-05-05,137,431278922
2022-05-06,195,431859321
2022-05-07,35,432025086
2022-05-08,13,432134475
2022-05-09,53,432354816
2022-05-10,198,432639345
2022-05-11,126,434019486
2022-05-12,125,435017274
2022-05-13,139,435185477
2022-05-14,92,435226309
2022-05-15,46,435243423
2022-05-16,69,435312095
2022-05-17,229,435312095
2022-05-18,103,436276886
2022-05-19,114,436936651
2022-05-20,60,437099610
2022-05-21,35,437142038
2022-05-22,99,437142038
2022-05-23,39,437142038
2022-05-24,239,437142038
2022-05-25,132,437142038
2022-05-26,143,438839760
2022-05-27,139,440230116
2022-05-28,72,440558613
2022-05-29,62,440647763
2022-05-30,63,440887471
2022-05-31,160,441054017
2022-06-01,125,441279964
2022-06-02,127,441279964
2022-06-03,43,442571325
2022-06-04,26,443278533
2022-06-05,8,443475532
2022-06-06,36,443829496
2022-06-07,307,444537453
2022-06-08,299,445097070
2022-06-09,143,446745262
2022-06-10,170,446745262
2022-06-11,114,447416630
2022-06-12,36,447455088
2022-06-13,70,447773835
2022-06-14,174,448234610
2022-06-15,339,448567375
2022-06-16,151,449034484
2022-06-17,72,449187010
2022-06-18,94,449291596
2022-06-19,55,449339384
2022-06-20,96,449796728
2022-06-21,229,450342490
2022-06-22,140,450847767
2022-06-23,365,451276207
2022-06-24,334,451641403
2022-06-25,140,451645589
2022-06-26,36,451787907
2022-06-27,127,452218476
2022-06-28,316,452218476
2022-06-29,277,454770759
2022-06-30,291,454854179
2022-07-01,284,455499598
2022-07-02,158,455720321
2022-07-03,53,456101065
2022-07-04,122,456903089
2022-07-05,396,457240603
2022-07-06,361,457240603
2022-07-07,283,458043955
2022-07-08,266,458043955
2022-07-09,215,458439642
2022-07-10,56,458522879
2022-07-11,148,459647933
2022-07-12,344,459647933
2022-07-13,380,460051351
2022-07-14,297,461148848
2022-07-15,311,461148848
2022-07-16,205,461493406
2022-07-17,55,461568115
