regiao;coduf;data;semanaEpidemiologica;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
Brasil;76;2020-03-14;11;210147125;121;23;0;0;22;99
Brasil;76;2020-03-15;12;210147125;200;79;0;0;62;138
Brasil;76;2020-03-16;12;210147125;234;34;0;0;48;186
Brasil;76;2020-03-17;12;210147125;291;57;1;1;50;240
Brasil;76;2020-03-18;12;210147125;428;137;4;3;110;314
Brasil;76;2020-03-19;12;210147125;621;193;6;2;175;440
Brasil;76;2020-03-20;12;210147125;904;283;11;5;250;643
Brasil;76;2020-03-21;12;210147125;1128;224;18;7;238;872
Brasil;76;2020-03-22;13;210147125;1546;418;25;7;348;1173
Brasil;76;2020-03-23;13;210147125;1891;345;34;9;365;1492
Brasil;76;2020-03-24;13;210147125;2201;310;46;12;317;1838
Brasil;76;2020-03-25;13;210147125;2433;232;57;11;258;2118
Brasil;76;2020-03-26;13;210147125;2915;482;77;20;402;2436
Brasil;76;2020-03-27;13;210147125;3417;502;92;15;501;2824
Brasil;76;2020-03-28;13;210147125;3903;486;114;22;500;3289
Brasil;76;2020-03-29;14;210147125;4256;353;136;22;412;3708
Brasil;76;2020-03-30;14;210147125;4579;323;159;23;363;4057
Brasil;76;2020-03-31;14;210147125;5717;1138;201;42;908;4608
Brasil;76;2020-04-01;14;210147125;6834;1117;241;40;1183;5410
Brasil;76;2020-04-02;14;210147125;7910;1076;299;58;1174;6437
Brasil;76;2020-04-03;14;210147125;9056;1146;359;60;1246;7451
Brasil;76;2020-04-04;14;210147125;10278;1222;432;73;1369;8477
Brasil;76;2020-04-05;15;210147125;11130;852;486;54;1232;9412
Brasil;76;2020-04-06;15;210147125;12056;926;553;67;1284;10219
Brasil;76;2020-04-07;15;210147125;13717;1661;667;114;1961;11089
Brasil;76;2020-04-08;15;210147125;15927;2210;800;133;2776;12351
Brasil;76;2020-04-09;15;210147125;17857;1930;941;141;3060;13856
Brasil;76;2020-04-10;15;210147125;19638;1781;1056;115;3200;15382
Brasil;76;2020-04-11;15;210147125;20727;1089;1124;68;3080;16523
Brasil;76;2020-04-12;16;210147125;22169;1442;1223;99;3365;17581
Brasil;76;2020-04-13;16;210147125;23430;1261;1328;105;3673;18429
Brasil;76;2020-04-14;16;210147125;25262;1832;1532;204;4318;19412
Brasil;76;2020-04-15;16;210147125;28320;3058;1736;204;5761;20823
Brasil;76;2020-04-16;16;210147125;30425;2105;1924;188;5975;22526
Brasil;76;2020-04-17;16;210147125;33682;3257;2141;217;6779;24762
Brasil;76;2020-04-18;16;210147125;36599;2917;2347;206;7505;26747
Brasil;76;2020-04-19;17;210147125;38654;2055;2462;115;22130;14062
Brasil;76;2020-04-20;17;210147125;40581;1927;2575;113;22991;15015
Brasil;76;2020-04-21;17;210147125;43079;2498;2741;166;24325;16013
Brasil;76;2020-04-22;17;210147125;45757;2678;2906;165;25318;17533
Brasil;76;2020-04-23;17;210147125;49492;3735;3313;407;26573;19606
Brasil;76;2020-04-24;17;210147125;52995;3503;3670;357;27655;21670
Brasil;76;2020-04-25;17;210147125;58509;5514;4016;346;29160;25333
Brasil;76;2020-04-26;18;210147125;61888;3379;4205;189;30152;27531
Brasil;76;2020-04-27;18;210147125;66501;4613;4543;338;31142;30816
Brasil;76;2020-04-28;18;210147125;71886;5385;5017;474;32544;34325
Brasil;76;2020-04-29;18;210147125;78162;6276;5466;449;34132;38564
Brasil;76;2020-04-30;18;210147125;85380;7218;5901;435;35935;43544
Brasil;76;2020-05-01;18;210147125;91299;5919;6329;428;38039;47221
Brasil;76;2020-05-02;18;210147125;96396;5097;6724;395;40937;48872
Brasil;76;2020-05-03;19;210147125;101147;4751;7025;301;42991;51131
Brasil;76;2020-05-04;19;210147125;107780;6633;7321;296;45186;55273
Brasil;76;2020-05-05;19;210147125;114715;6935;7921;600;48221;58573
Brasil;76;2020-05-06;19;210147125;125218;10503;8535;614;51370;65312
Brasil;76;2020-05-07;19;210147125;135106;9888;9146;611;55350;70610
Brasil;76;2020-05-08;19;210147125;145328;10222;9895;749;59297;76134
Brasil;76;2020-05-09;19;210147125;155939;10611;10627;732;61685;83627
Brasil;76;2020-05-10;20;210147125;162699;6760;11123;496;64957;86619
Brasil;76;2020-05-11;20;210147125;168331;5632;11519;396;67384;89429
Brasil;76;2020-05-12;20;210147125;177589;9258;12400;881;72597;92593
Brasil;76;2020-05-13;20;210147125;188974;11385;13149;749;78424;97402
Brasil;76;2020-05-14;20;210147125;202918;13944;13993;844;79479;109446
Brasil;76;2020-05-15;20;210147125;218223;15305;14817;824;84970;118436
Brasil;76;2020-05-16;20;210147125;233142;14919;15633;816;89672;127837
Brasil;76;2020-05-17;21;210147125;241080;7938;16118;485;94122;130840
Brasil;76;2020-05-18;21;210147125;254220;13140;16792;674;100459;136969
Brasil;76;2020-05-19;21;210147125;271628;17408;17971;1179;106794;146863
Brasil;76;2020-05-20;21;210147125;291579;19951;18859;888;116683;156037
Brasil;76;2020-05-21;21;210147125;310087;18508;20047;1188;125960;164080
Brasil;76;2020-05-22;21;210147125;330890;20803;21046;999;135430;174412
Brasil;76;2020-05-23;21;210147125;347398;16508;22013;967;142587;182798
Brasil;76;2020-05-24;22;210147125;363211;15813;22666;653;149911;190634
Brasil;76;2020-05-25;22;210147125;374898;11687;23473;807;153833;197592
Brasil;76;2020-05-26;22;210147125;391222;16324;24512;1039;158593;208117
Brasil;76;2020-05-27;22;210147125;411821;20599;25598;1086;166647;219576
Brasil;76;2020-05-28;22;210147125;438238;26417;26754;1156;177604;233880
Brasil;76;2020-05-29;22;210147125;465166;26928;27878;1124;189476;247812
Brasil;76;2020-05-30;22;210147125;498440;33274;28834;956;200892;268714
Brasil;76;2020-05-31;23;210147125;514200;15760;29314;480;206555;278331
Brasil;76;2020-06-01;23;210147125;526447;12247;29937;623;211080;285430
Brasil;76;2020-06-02;23;210147125;555383;28936;31199;1262;223638;300546
Brasil;76;2020-06-03;23;210147125;584016;28633;32548;1349;238617;312851
Brasil;76;2020-06-04;23;210147125;614941;30925;34021;1473;254963;325957
Brasil;76;2020-06-05;23;210147125;645771;30830;35026;1005;266940;343805
Brasil;76;2020-06-06;23;210147125;672846;27075;35930;904;277149;359767
Brasil;76;2020-06-07;24;210147125;691758;18912;36455;525;283952;371351
Brasil;76;2020-06-08;24;210147125;707412;15654;37134;679;290040;380238
