coduf,continente,regiao,data,casosAcumulado,obitosAcumulado,obitosNovos,totalVacinacoes,pessoasVacinadas,novasVacinacoes,country
BRA,South America,Brazil,2021-02-27,10390461,251498.0,1541.0,8433568.0,6518628,111526.0,Brasil
BRA,South America,Brazil,2021-02-28,10455630,252835.0,1337.0,8465403.0,6542206,31835.0,Brasil
BRA,South America,Brazil,2021-03-01,10517232,254221.0,1386.0,8841027.0,6806293,375624.0,Brasil
BRA,South America,Brazil,2021-03-02,10551259,254942.0,721.0,9277322.0,7114219,436295.0,Brasil
BRA,South America,Brazil,2021-03-03,10587001,255720.0,778.0,9739676.0,7417852,462354.0,Brasil
BRA,South America,Brazil,2021-03-04,10646926,257361.0,1641.0,10169160.0,7701146,429484.0,Brasil
BRA,South America,Brazil,2021-03-05,10718630,259271.0,1910.0,10576542.0,7958939,407382.0,Brasil
BRA,South America,Brazil,2021-03-06,10793732,260970.0,1699.0,10830688.0,8142004,254146.0,Brasil
BRA,South America,Brazil,2021-03-07,10869227,262770.0,1800.0,10948409.0,8227671,117721.0,Brasil
BRA,South America,Brazil,2021-03-08,10938836,264325.0,1555.0,11357494.0,8504966,409085.0,Brasil
BRA,South America,Brazil,2021-03-09,11019344,265411.0,1086.0,11756131.0,8764547,398637.0,Brasil
BRA,South America,Brazil,2021-03-10,11051665,266398.0,987.0,12181103.0,9013293,424972.0,Brasil
BRA,South America,Brazil,2021-03-11,11122429,268370.0,1972.0,12613179.0,9298511,432076.0,Brasil
BRA,South America,Brazil,2021-03-12,11202305,270656.0,2286.0,13017720.0,9547655,404541.0,Brasil
BRA,South America,Brazil,2021-03-13,11277717,272889.0,2233.0,13223729.0,9669967,206009.0,Brasil
BRA,South America,Brazil,2021-03-14,11363380,275105.0,2216.0,13286664.0,9718209,62935.0,Brasil
BRA,South America,Brazil,2021-03-15,11439558,277102.0,1997.0,13763573.0,10087787,476909.0,Brasil
BRA,South America,Brazil,2021-03-16,11483370,278229.0,1127.0,14198794.0,10402388,435221.0,Brasil
BRA,South America,Brazil,2021-03-17,11519609,279286.0,1057.0,14648691.0,10725474,449897.0,Brasil
BRA,South America,Brazil,2021-03-18,11603535,282127.0,2841.0,15087602.0,11055747,438911.0,Brasil
BRA,South America,Brazil,2021-03-19,11693838,284775.0,2648.0,15623349.0,11509501,535747.0,Brasil
BRA,South America,Brazil,2021-03-20,11780820,287499.0,2724.0,15883688.0,11739832,260339.0,Brasil
BRA,South America,Brazil,2021-03-21,11871390,290314.0,2815.0,15980363.0,11818482,96675.0,Brasil
BRA,South America,Brazil,2021-03-22,11950459,292752.0,2438.0,16567102.0,12314847,586739.0,Brasil
BRA,South America,Brazil,2021-03-23,11998233,294042.0,1290.0,17157631.0,12817812,590529.0,Brasil
BRA,South America,Brazil,2021-03-24,12047526,295425.0,1383.0,17886781.0,13436373,729150.0,Brasil
BRA,South America,Brazil,2021-03-25,12130019,298676.0,3251.0,18655345.0,14102934,768564.0,Brasil
BRA,South America,Brazil,2021-03-26,12220011,300685.0,2009.0,19577786.0,14928869,922441.0,Brasil
BRA,South America,Brazil,2021-03-27,12320169,303462.0,2777.0,19962072.0,15282128,384286.0,Brasil
BRA,South America,Brazil,2021-03-28,12404414,307112.0,3650.0,20216938.0,15513974,254866.0,Brasil
BRA,South America,Brazil,2021-03-29,12490362,310550.0,3438.0,21160763.0,16335279,943825.0,Brasil
BRA,South America,Brazil,2021-03-30,12534688,312206.0,1656.0,21950245.0,16995184,789482.0,Brasil
BRA,South America,Brazil,2021-03-31,12573615,313866.0,1660.0,22839287.0,17745732,889042.0,Brasil
BRA,South America,Brazil,2021-04-01,12658109,317646.0,3780.0,23880805.0,18639028,1041518.0,Brasil
BRA,South America,Brazil,2021-04-02,12748747,321515.0,3869.0,24181208.0,18900837,300403.0,Brasil
BRA,South America,Brazil,2021-04-03,12839844,325284.0,3769.0,24575470.0,19222342,394262.0,Brasil
BRA,South America,Brazil,2021-04-04,12910082,328206.0,2922.0,24910668.0,19510333,335198.0,Brasil
BRA,South America,Brazil,2021-04-05,12953597,330193.0,1987.0,25658532.0,20056296,747864.0,Brasil
BRA,South America,Brazil,2021-04-06,12984956,331433.0,1240.0,26736003.0,20850120,1077471.0,Brasil
BRA,South America,Brazil,2021-04-07,13013601,332752.0,1319.0,27644079.0,21538484,908076.0,Brasil
BRA,South America,Brazil,2021-04-08,13100580,336947.0,4195.0,28653848.0,22246612,1009769.0,Brasil
BRA,South America,Brazil,2021-04-09,13193205,340776.0,3829.0,29544578.0,22693305,890730.0,Brasil
BRA,South America,Brazil,2021-04-10,13279857,345025.0,4249.0,30084664.0,23097172,540086.0,Brasil
BRA,South America,Brazil,2021-04-11,13373174,348718.0,3693.0,30356896.0,23300896,272232.0,Brasil
BRA,South America,Brazil,2021-04-12,13445006,351334.0,2616.0,31316420.0,23910515,959524.0,Brasil
BRA,South America,Brazil,2021-04-13,13482023,353137.0,1803.0,32217205.0,24473138,900785.0,Brasil
BRA,South America,Brazil,2021-04-14,13517808,354617.0,1480.0,33148388.0,24996380,931183.0,Brasil
BRA,South America,Brazil,2021-04-15,13599994,358425.0,3808.0,34050325.0,25478194,901937.0,Brasil
BRA,South America,Brazil,2021-04-16,13673507,361884.0,3459.0,34993448.0,25810304,943123.0,Brasil
BRA,South America,Brazil,2021-04-17,13746681,365444.0,3560.0,35603882.0,26085155,610434.0,Brasil
BRA,South America,Brazil,2021-04-18,13832455,368749.0,3305.0,35817144.0,26210282,213262.0,Brasil
BRA,South America,Brazil,2021-04-19,13900091,371678.0,2929.0,36910479.0,26707227,1093335.0,Brasil
BRA,South America,Brazil,2021-04-20,13943071,373335.0,1657.0,37909705.0,27184073,999226.0,Brasil
BRA,South America,Brazil,2021-04-21,13973695,374682.0,1347.0,38467754.0,27518053,558049.0,Brasil
BRA,South America,Brazil,2021-04-22,14043076,378003.0,3321.0,39291064.0,27887014,823310.0,Brasil
BRA,South America,Brazil,2021-04-23,14122795,381475.0,3472.0,41073104.0,28783905,1782040.0,Brasil
BRA,South America,Brazil,2021-04-24,14167973,383502.0,2027.0,41494939.0,28981002,421835.0,Brasil
BRA,South America,Brazil,2021-04-25,14237078,386416.0,2914.0,41626753.0,29041497,131814.0,Brasil
BRA,South America,Brazil,2021-04-26,14308215,389492.0,3076.0,42787199.0,29601947,1160446.0,Brasil
BRA,South America,Brazil,2021-04-27,14340787,390797.0,1305.0,44287510.0,30275923,1500311.0,Brasil
BRA,South America,Brazil,2021-04-28,14369423,391936.0,1139.0,45379804.0,30748674,1092294.0,Brasil
BRA,South America,Brazil,2021-04-29,14441563,395022.0,3086.0,46426188.0,31243694,1046384.0,Brasil
BRA,South America,Brazil,2021-04-30,14521289,398185.0,3163.0,47399150.0,31696792,972962.0,Brasil
BRA,South America,Brazil,2021-05-01,14590678,401186.0,3001.0,47663526.0,31830880,264376.0,Brasil
BRA,South America,Brazil,2021-05-02,14659011,403781.0,2595.0,47755613.0,31884404,92087.0,Brasil
BRA,South America,Brazil,2021-05-03,14725975,406437.0,2656.0,48643324.0,32345310,887711.0,Brasil
BRA,South America,Brazil,2021-05-04,14754910,407639.0,1202.0,49626137.0,32896171,982813.0,Brasil
BRA,South America,Brazil,2021-05-05,14779529,408622.0,983.0,50576224.0,33490395,950087.0,Brasil
BRA,South America,Brazil,2021-05-06,14856888,411588.0,2966.0,51624587.0,34271192,1048363.0,Brasil
BRA,South America,Brazil,2021-05-07,14930183,414399.0,2811.0,52647815.0,35008550,1023228.0,Brasil
BRA,South America,Brazil,2021-05-08,15003563,416949.0,2550.0,52972460.0,35253389,324645.0,Brasil
BRA,South America,Brazil,2021-05-09,15082449,419114.0,2165.0,53064124.0,35318058,91664.0,Brasil
BRA,South America,Brazil,2021-05-10,15145879,421316.0,2202.0,54008862.0,35926219,944738.0,Brasil
BRA,South America,Brazil,2021-05-11,15184790,422340.0,1024.0,54912939.0,36523507,904077.0,Brasil
BRA,South America,Brazil,2021-05-12,15209990,423229.0,889.0,55907165.0,37233983,994226.0,Brasil
BRA,South America,Brazil,2021-05-13,15282705,425540.0,2311.0,56583962.0,37768491,676797.0,Brasil
BRA,South America,Brazil,2021-05-14,15359397,428034.0,2494.0,57313642.0,38320507,729680.0,Brasil
BRA,South America,Brazil,2021-05-15,15433989,430417.0,2383.0,57668646.0,38570631,355004.0,Brasil
BRA,South America,Brazil,2021-05-16,15519525,432628.0,2211.0,57935280.0,38752714,266634.0,Brasil
BRA,South America,Brazil,2021-05-17,15586534,434715.0,2087.0,58714631.0,39284275,779351.0,Brasil
BRA,South America,Brazil,2021-05-18,15627475,435751.0,1036.0,59603625.0,39891922,888994.0,Brasil
BRA,South America,Brazil,2021-05-19,15657391,436537.0,786.0,60363334.0,40435632,759709.0,Brasil
BRA,South America,Brazil,2021-05-20,15732836,439050.0,2513.0,61297420.0,41089722,934086.0,Brasil
BRA,South America,Brazil,2021-05-21,15812055,441691.0,2641.0,62122684.0,41659039,825264.0,Brasil
BRA,South America,Brazil,2021-05-22,15894094,444094.0,2403.0,62459684.0,41882011,337000.0,Brasil
BRA,South America,Brazil,2021-05-23,15970949,446309.0,2215.0,63278821.0,42474538,819137.0,Brasil
BRA,South America,Brazil,2021-05-24,16047439,448208.0,1899.0,64098809.0,43008064,819988.0,Brasil
BRA,South America,Brazil,2021-05-25,16083258,449068.0,860.0,64918585.0,43525933,819776.0,Brasil
BRA,South America,Brazil,2021-05-26,16120756,449858.0,790.0,65668438.0,44045168,749853.0,Brasil
BRA,South America,Brazil,2021-05-27,16194209,452031.0,2173.0,66363506.0,44530761,695068.0,Brasil
BRA,South America,Brazil,2021-05-28,16274695,454429.0,2398.0,67359292.0,45284397,995786.0,Brasil
BRA,South America,Brazil,2021-05-29,16342162,456674.0,2245.0,67761958.0,45604680,402666.0,Brasil
BRA,South America,Brazil,2021-05-30,16391930,459045.0,2371.0,67874735.0,45684962,112777.0,Brasil
BRA,South America,Brazil,2021-05-31,16471600,461057.0,2012.0,68665647.0,46328168,790912.0,Brasil
BRA,South America,Brazil,2021-06-01,16515120,461931.0,874.0,69477898.0,46932629,812251.0,Brasil
BRA,South America,Brazil,2021-06-02,16545554,462791.0,860.0,70685368.0,47852026,1207470.0,Brasil
BRA,South America,Brazil,2021-06-03,16624480,465199.0,2408.0,71245492.0,48321463,560124.0,Brasil
BRA,South America,Brazil,2021-06-04,16720081,467706.0,2507.0,71961789.0,48963900,716297.0,Brasil
BRA,South America,Brazil,2021-06-05,16803472,469388.0,1682.0,72586950.0,49491413,625161.0,Brasil
BRA,South America,Brazil,2021-06-06,16841408,470842.0,1454.0,72811509.0,49685501,224559.0,Brasil
BRA,South America,Brazil,2021-06-07,16907425,472531.0,1689.0,73614079.0,50381104,802570.0,Brasil
BRA,South America,Brazil,2021-06-08,16947062,473404.0,873.0,74920113.0,51502554,1306034.0,Brasil
BRA,South America,Brazil,2021-06-09,16984218,474414.0,1010.0,76117123.0,52567517,1197010.0,Brasil
BRA,South America,Brazil,2021-06-10,17037129,476792.0,2378.0,77243101.0,53577624,1125978.0,Brasil
BRA,South America,Brazil,2021-06-11,17122877,479515.0,2723.0,78471914.0,54685737,1228813.0,Brasil
BRA,South America,Brazil,2021-06-12,17210969,482019.0,2504.0,79118243.0,55292343,646329.0,Brasil
BRA,South America,Brazil,2021-06-13,17296118,484235.0,2216.0,79466212.0,55617274,347969.0,Brasil
BRA,South America,Brazil,2021-06-14,17374818,486272.0,2037.0,80577338.0,56657381,1111126.0,Brasil
BRA,South America,Brazil,2021-06-15,17412766,487401.0,1129.0,81940689.0,57910386,1363351.0,Brasil
BRA,South America,Brazil,2021-06-16,17452612,488228.0,827.0,83181485.0,59068483,1240796.0,Brasil
BRA,South America,Brazil,2021-06-17,17533221,490696.0,2468.0,85441106.0,61187304,2259621.0,Brasil
BRA,South America,Brazil,2021-06-18,17628588,493693.0,2997.0,87160471.0,62785859,1719365.0,Brasil
BRA,South America,Brazil,2021-06-19,17702630,496004.0,2311.0,88108418.0,63659153,947947.0,Brasil
BRA,South America,Brazil,2021-06-20,17801462,498499.0,2495.0,88570223.0,64099339,461805.0,Brasil
BRA,South America,Brazil,2021-06-21,17883750,500800.0,2301.0,90013336.0,65421825,1443113.0,Brasil
BRA,South America,Brazil,2021-06-22,17927928,501825.0,1025.0,91420290.0,66688623,1406954.0,Brasil
BRA,South America,Brazil,2021-06-23,17966831,502586.0,761.0,92782243.0,67890907,1361953.0,Brasil
BRA,South America,Brazil,2021-06-24,18054653,504717.0,2131.0,94322179.0,69113521,1539936.0,Brasil
BRA,South America,Brazil,2021-06-25,18169881,507109.0,2392.0,95764065.0,70369603,1441886.0,Brasil
BRA,South America,Brazil,2021-06-26,18243483,509141.0,2032.0,96545254.0,71090361,781189.0,Brasil
BRA,South America,Brazil,2021-06-27,18322760,511142.0,2001.0,96789753.0,71319026,244499.0,Brasil
BRA,South America,Brazil,2021-06-28,18386894,512735.0,1593.0,97929680.0,72324820,1139927.0,Brasil
BRA,South America,Brazil,2021-06-29,18420598,513474.0,739.0,99828676.0,73943650,1898996.0,Brasil
BRA,South America,Brazil,2021-06-30,18448402,514092.0,618.0,101167462.0,75097273,1338786.0,Brasil
BRA,South America,Brazil,2021-07-01,18513305,515985.0,1893.0,102561737.0,76284848,1394275.0,Brasil
BRA,South America,Brazil,2021-07-02,18557141,518066.0,2081.0,104047565.0,77586349,1485828.0,Brasil
BRA,South America,Brazil,2021-07-03,18622304,520095.0,2029.0,104753510.0,78210253,705945.0,Brasil
BRA,South America,Brazil,2021-07-04,18687469,521952.0,1857.0,105097389.0,78512727,343879.0,Brasil
BRA,South America,Brazil,2021-07-05,18742025,523587.0,1635.0,106696625.0,79835457,1599236.0,Brasil
BRA,South America,Brazil,2021-07-06,18769808,524417.0,830.0,108247755.0,81152984,1551130.0,Brasil
BRA,South America,Brazil,2021-07-07,18792511,525112.0,695.0,109976127.0,82649595,1728372.0,Brasil
BRA,South America,Brazil,2021-07-08,18855015,526892.0,1780.0,111573265.0,83948802,1597138.0,Brasil
BRA,South America,Brazil,2021-07-09,18909037,528540.0,1648.0,112999344.0,85166293,1426079.0,Brasil
BRA,South America,Brazil,2021-07-10,18962762,530179.0,1639.0,113929447.0,85922323,930103.0,Brasil
BRA,South America,Brazil,2021-07-11,19020499,531688.0,1509.0,114350128.0,86272249,420681.0,Brasil
BRA,South America,Brazil,2021-07-12,19069003,532893.0,1205.0,115654260.0,87264587,1304132.0,Brasil
BRA,South America,Brazil,2021-07-13,19089940,533488.0,595.0,117154411.0,88385719,1500151.0,Brasil
BRA,South America,Brazil,2021-07-14,19106971,534233.0,745.0,118689127.0,89449394,1534716.0,Brasil
BRA,South America,Brazil,2021-07-15,19151993,535838.0,1605.0,120155331.0,90743692,1466204.0,Brasil
BRA,South America,Brazil,2021-07-16,19209729,537394.0,1556.0,121651233.0,91739486,1495902.0,Brasil
BRA,South America,Brazil,2021-07-17,19262518,538942.0,1548.0,122615695.0,92434146,964462.0,Brasil
BRA,South America,Brazil,2021-07-18,19308109,540398.0,1456.0,122859535.0,92630599,243840.0,Brasil
BRA,South America,Brazil,2021-07-19,19342448,541266.0,868.0,124433796.0,93786760,1574261.0,Brasil
BRA,South America,Brazil,2021-07-20,19376574,542214.0,948.0,126315897.0,95101845,1882101.0,Brasil
BRA,South America,Brazil,2021-07-21,19391845,542756.0,542.0,128199383.0,96304601,1883486.0,Brasil
BRA,South America,Brazil,2021-07-22,19419437,544180.0,1424.0,130131385.0,97428671,1932002.0,Brasil
BRA,South America,Brazil,2021-07-23,19473954,545604.0,1424.0,131858906.0,98712936,1727521.0,Brasil
BRA,South America,Brazil,2021-07-24,19523711,547016.0,1412.0,132812191.0,99391757,953285.0,Brasil
BRA,South America,Brazil,2021-07-25,19632443,548340.0,1324.0,133139145.0,99610570,326954.0,Brasil
BRA,South America,Brazil,2021-07-26,19670534,549448.0,1108.0,134540217.0,100522817,1401072.0,Brasil
BRA,South America,Brazil,2021-07-27,19688663,549924.0,476.0,136158369.0,101528055,1618152.0,Brasil
BRA,South America,Brazil,2021-07-28,19707662,550502.0,578.0,137944954.0,102535345,1786585.0,Brasil
BRA,South America,Brazil,2021-07-29,19749073,551835.0,1333.0,139483586.0,103363365,1538632.0,Brasil
BRA,South America,Brazil,2021-07-30,19797086,553179.0,1344.0,141319627.0,104477597,1836041.0,Brasil
BRA,South America,Brazil,2021-07-31,19839369,554497.0,1318.0,142301917.0,105083580,982290.0,Brasil
BRA,South America,Brazil,2021-08-01,19880273,555460.0,963.0,142598659.0,105292650,296742.0,Brasil
BRA,South America,Brazil,2021-08-02,19917855,556370.0,910.0,143762758.0,105934725,1164099.0,Brasil
BRA,South America,Brazil,2021-08-03,19938358,556834.0,464.0,145618595.0,107137953,1855837.0,Brasil
BRA,South America,Brazil,2021-08-04,19953501,557223.0,389.0,148054492.0,108658469,2435897.0,Brasil
BRA,South America,Brazil,2021-08-05,19985817,558432.0,1209.0,149763010.0,109745651,1708518.0,Brasil
BRA,South America,Brazil,2021-08-06,20026533,559607.0,1175.0,151506191.0,110841845,1743181.0,Brasil
BRA,South America,Brazil,2021-08-07,20066587,560706.0,1099.0,152313188.0,111342715,806997.0,Brasil
BRA,South America,Brazil,2021-08-08,20108746,561762.0,1056.0,152680029.0,111566720,366841.0,Brasil
BRA,South America,Brazil,2021-08-09,20151779,562752.0,990.0,154190964.0,112476618,1510935.0,Brasil
BRA,South America,Brazil,2021-08-10,20165672,563151.0,399.0,156399040.0,113880889,2208076.0,Brasil
BRA,South America,Brazil,2021-08-11,20177757,563562.0,411.0,158422879.0,115251518,2023839.0,Brasil
BRA,South America,Brazil,2021-08-12,20212642,564773.0,1211.0,160674246.0,116780678,2251367.0,Brasil
